x,y,vx,vy,objet_raquette_2
502,302,15,15,250
517,317,15,15,250
532,332,15,15,250
547,347,15,15,250
562,362,15,15,250
577,377,15,15,250
592,392,15,15,250
607,407,15,15,250
622,422,15,15,250
637,437,15,15,240
652,452,15,15,240
667,467,15,15,240
682,482,15,15,240
697,467,15,-15,240
712,452,15,-15,240
727,437,15,-15,240
742,422,15,-15,250
757,407,15,-15,250
772,392,15,-15,250
787,377,15,-15,250
802,362,15,-15,250
817,347,15,-15,250
832,332,15,-15,260
847,317,15,-15,260
862,302,15,-15,260
877,287,15,-15,260
892,272,15,-15,260
907,257,15,-15,270
922,242,15,-15,270
907,227,-15,-15,270
892,212,-15,-15,260
877,197,-15,-15,260
862,182,-15,-15,250
847,167,-15,-15,250
832,152,-15,-15,250
817,137,-15,-15,250
802,122,-15,-15,250
787,107,-15,-15,250
772,92,-15,-15,250
757,107,-15,15,250
742,122,-15,15,250
727,137,-15,15,250
712,152,-15,15,250
697,167,-15,15,250
682,182,-15,15,250
667,197,-15,15,250
652,212,-15,15,250
637,227,-15,15,250
622,242,-15,15,250
607,257,-15,15,250
592,272,-15,15,250
577,287,-15,15,250
562,302,-15,15,250
547,317,-15,15,250
532,332,-15,15,250
517,347,-15,15,250
502,362,-15,15,250
487,377,-15,15,250
472,392,-15,15,250
457,407,-15,15,250
442,422,-15,15,250
427,437,-15,15,250
412,452,-15,15,250
397,467,-15,15,250
382,482,-15,15,250
367,467,-15,-15,250
352,452,-15,-15,250
337,437,-15,-15,250
322,422,-15,-15,250
307,407,-15,-15,250
292,392,-15,-15,250
277,377,-15,-15,250
262,362,-15,-15,250
247,347,-15,-15,250
232,332,-15,-15,250
217,317,-15,-15,250
202,302,-15,-15,250
187,287,-15,-15,250
172,272,-15,-15,250
157,257,-15,-15,250
142,242,-15,-15,250
127,227,-15,-15,250
112,212,-15,-15,250
97,197,-15,-15,250
82,182,-15,-15,250
67,167,-15,-15,250
52,152,-15,-15,250
37,137,-15,-15,250
22,122,-15,-15,250
7,107,-15,-15,250
-8,92,-15,-15,250
-23,107,-15,15,250
-38,122,-15,15,250
472,302,-15,15,250
457,317,-15,15,250
442,332,-15,15,250
427,347,-15,15,250
412,362,-15,15,250
397,377,-15,15,250
382,392,-15,15,250
367,407,-15,15,250
352,422,-15,15,250
337,437,-15,15,250
322,452,-15,15,250
307,467,-15,15,250
292,482,-15,15,250
277,467,-15,-15,250
262,452,-15,-15,250
247,437,-15,-15,250
232,422,-15,-15,250
217,407,-15,-15,250
202,392,-15,-15,250
187,377,-15,-15,250
172,362,-15,-15,250
157,347,-15,-15,250
142,332,-15,-15,250
127,317,-15,-15,250
112,302,-15,-15,250
97,287,-15,-15,250
82,272,-15,-15,250
67,257,-15,-15,250
52,242,-15,-15,250
67,227,15,-15,250
82,212,15,-15,250
97,197,15,-15,250
112,182,15,-15,250
127,167,15,-15,250
142,152,15,-15,240
157,137,15,-15,240
172,122,15,-15,240
187,107,15,-15,240
202,92,15,-15,230
217,107,15,15,230
232,122,15,15,230
247,137,15,15,230
262,152,15,15,220
277,167,15,15,220
292,182,15,15,220
307,197,15,15,220
322,212,15,15,220
337,227,15,15,220
352,242,15,15,230
367,257,15,15,230
382,272,15,15,230
397,287,15,15,230
412,302,15,15,230
427,317,15,15,240
442,332,15,15,240
457,347,15,15,240
472,362,15,15,240
487,377,15,15,240
502,392,15,15,230
517,407,15,15,230
532,422,15,15,230
547,437,15,15,230
562,452,15,15,220
577,467,15,15,220
